child,child label,parent,parent label,relation,verdict,quote,URL,note,batch
COHO:0001004,European Prospective Investigation into Cancer and Nutrition–Cardiovascular Disease Study,COHO:0000176,UK Biobank,,rejected,,,"Mere comparison: the paper (PMC7618008) analyses women from the EPIC-CVD random sub-cohort side by side with UK Biobank women; 'sub-cohort' refers to EPIC-CVD's own case-cohort subcohort, not to UK Biobank. EPIC-CVD is nested in EPIC (already linked to COHO:0000065).",s001
COHO:0000431,Genetic Epidemiology Research on Adult Health and Aging,COHO:0000541,Kaiser Permanente Research Bank,,rejected,,,"Name clash: the sentences say GERA is a subsample of / part of the Kaiser Permanente Research Program on Genes, Environment and Health (RPGEH, COHO:0000473), matched here through the synonyms 'Kaiser Permanente'/'KP' of the Kaiser Permanente Research Bank. GERA isSubCohortOf RPGEH is already asserted; nothing in the cached text links GERA to the Research Bank itself.",s001
COHO:0000020,Breast Cancer Association Consortium,COHO:0000731,Collaborative Oncological Gene-environment Study,memberOf,confirmed,"Recently, new risk-associated variants have been identified in a large-scale replication study conducted by the Breast Cancer Association Consortium (BCAC) as part of the Collaborative Oncological Gene-Environment Study (COGS).",https://www.ncbi.nlm.nih.gov/research/bionlp/RESTful/pmcoa.cgi/BioC_xml/PMC4754625/unicode,"Consortium of consortia: BCAC took part in COGS as its breast-cancer consortium, as the COGS definition already says; both are typed cohort aggregation, so COGS hasCohort BCAC. The ng.3562 supplement also says BCAC is 'part of the iCOGS initiative'.",s001
COHO:0000710,Genetics of Overweight Young Adults,COHO:0000748,Danish National Birth Cohort,isSubCohortOf,confirmed,"The Genomics of overweight in Young Adults (GOYA) study is a nested study within the DNBC, and conducted in collaboration with the MRC Integrative Epidemiology Unit at the University of Bristol (MC_UU_12013/1-9).",https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fs41588-023-01343-9/MediaObjects/41588_2023_1343_MOESM1_ESM.pdf,"Stated directly; the same document says GOYA participants 'were drawn from the 67,863 women within the DNBC'. Caveat for the curator: the COHO definition of GOYA also includes men from a Danish draft-board cohort, who are not DNBC participants, so strictly only the women's arm is a sub-cohort of the DNBC.",s001
COHO:0000900,NIHR Cambridge BioResource,COHO:0000611,Prostate Cancer Association Group to Investigate Cancer-Associated Alterations in the Genome,,rejected,,,"Name clash: the acknowledgement sentence is about the 'APBC BioResource' (Australian Prostate Cancer BioResource) forming part of PRACTICAL; the synonym 'BioResource' matched the NIHR Cambridge BioResource, which is not mentioned in that sentence.",s001
COHO:0000525,ADDITION-PRO Study,COHO:0000614,Anglo-Danish-Dutch Study of Intensive Treatment in People with Screen Detected Diabetes in Primary Care,,rejected,,,"The cached text (PMC3583712) says 'The ADDITION-PRO study is nested within the Danish arm (ADDITION-DK) of the ADDITION-Europe study', so the direct parent is ADDITION-Denmark (COHO:0000613), already asserted from this very sentence, and ADDITION-Denmark isSubCohortOf ADDITION-Europe is also already asserted. A direct link would be redundant; moreover ADDITION-PRO was drawn from people at diabetes risk found by the screening programme, not from the trial's screen-detected diabetes patients that the ADDITION-Europe term describes.",s001
COHO:0001222,Karolinska Mammography Project for Risk Prediction of Breast Cancer - Case-Control Study,COHO:0000731,Collaborative Oncological Gene-environment Study,memberOf,confirmed,We constructed celiac disease PRS profiles (celiac-PRS) using individual level genotype data for subjects in the pKARMA study genotyped as part of the iCOGS initiative.,https://pmc.ncbi.nlm.nih.gov/articles/PMC5517429/,"The text refers to the iCOGS initiative (the collaboration), not just the array, and PMC4754625 also contrasts 'All studies in iCOGS excluding pKARMA'. pKARMA took part through BCAC (pKARMA memberOf BCAC already asserted; BCAC memberOf COGS is pair 3 of this batch), so the curator may prefer to leave the direct COGS hasCohort pKARMA out as implied.",s001
COHO:0000125,Netherlands Twin Registry,COHO:0000131,Norwegian Mother and Child Cohort study,,rejected,,,"Mere listing: a figure caption naming the cohorts analysed ('the five MoBa subsamples, Lifelines, NSHD, NTR ...'). The Netherlands Twin Registry is not part of MoBa.",s001
COHO:0000108,LifeLines,COHO:0000131,Norwegian Mother and Child Cohort study,,rejected,,,"Mere listing: a figure caption naming the cohorts analysed ('the five MoBa subsamples, Lifelines, NSHD, NTR ...'). Lifelines is a Dutch cohort, not part of MoBa.",s001
COHO:0000882,SEARCH for Diabetes in Youth,COHO:0000705,DIAGEN Study,,rejected,,,"Name clash: 'Diabetes Genetics' (a synonym of DIAGEN) matched inside 'Progress in Diabetes Genetics in Youth (ProDiGY) consortium'. The text says TODAY and SEARCH participants were studied as part of ProDiGY; DIAGEN is not mentioned. (If COHO had a ProDiGY aggregation term, SEARCH would be a member of it.)",s001
